Time,target 1:gun 2:fighter,gun_active,vector,shoot,die
200.1,0,0,0,0,0
200.1,0,0,0.05294648,0,0
200.1,-1,0,-0.9275675,0,0
200.1,1,0,0.8752085,0,0
200.1,1,0,0.8771937,0,0
200.1,0,0,0.698159,0,0
200.2,0,0,0,0,0
200.2,0,0,0.08184707,0,0
200.2,-1,0,-0.9424461,0,0
200.2,1,0,0.8584841,0,0
200.2,1,0,0.8898876,0,0
200.2,0,0,0.720769,0,0
200.3,0,0,0,0,0
200.3,0,0,0.1108051,0,0
200.3,-1,0,-0.9564651,0,0
200.3,1,0,0.8418931,0,0
200.3,1,0,0.9029988,0,0
200.3,0,0,0.7435766,0,0
200.4,0,0,0,0,0
200.4,0,0,0.1396299,0,0
200.4,-1,0,-0.9673799,0,0
200.4,1,0,0.8233515,0,0
200.4,1,0,0.9144204,0,0
200.4,0,0,0.7648047,0,0
200.5,0,0,0,0,0
200.5,0,0,0.1685958,0,0
200.5,-1,0,-0.977658,0,0
200.5,1,0,0.8048483,0,0
200.5,1,0,0.9262766,0,0
200.5,0,0,0.7862347,0,0
200.6,0,0,0,0,0
200.6,0,0,0.1973717,0,0
200.6,-1,0,-0.9848696,0,0
200.6,0,0,0.7844725,0,0
200.6,1,0,0.9364153,0,0
200.6,1,0,0.8059993,0,0
200.7,0,0,0,0,0
200.7,0,0,0.2261917,0,0
200.7,-1,0,-0.9916091,0,0
200.7,0,0,0.7641694,0,0
200.7,1,0,0.9468646,0,0
200.7,1,0,0.8258437,0,0
200.8,0,0,0,0,0
200.8,0,0,0.2548801,0,0
200.8,-1,0,-0.9960393,0,0
200.8,0,0,0.7424934,0,0
200.8,1,0,0.9560753,0,0
200.8,1,0,0.8444175,0,0
200.9,0,0,0,0,0
200.9,0,0,0.2834601,0,0
200.9,-1,0,-0.9981807,0,0
200.9,0,0,0.7195148,0,0
200.9,1,0,0.9640858,0,0
200.9,1,0,0.8617227,0,0
201,0,0,0,0,0
201,0,0,0.3119539,0,0
201,-1,0,-0.9993556,0,0
201,0,0,0.696101,0,0
201,1,0,0.9717613,0,0
201,1,0,0.8785372,0,0
201.1,0,0,0,0,0
201.1,0,0,0.3402153,0,0
201.1,-1,0,-0.9995378,0,0
201.1,0,0,0.6723062,0,0
201.1,1,0,0.9789456,0,0
201.1,1,0,0.8947507,0,0
201.2,0,0,0,0,0
201.2,0,0,0.3358054,0,0
201.2,-1,0,-0.9988266,0,0
201.2,0,0,0.6729572,0,0
201.2,1,0,0.9779022,0,0
201.2,1,0,0.8942398,0,0
201.3,0,0,0,0,0
201.3,0,0,0.3314186,0,0
201.3,-1,0,-0.998679,0,0
201.3,0,0,0.6740687,0,0
201.3,1,0,0.977218,0,0
201.3,1,0,0.8941128,0,0
201.4,0,0,0,0,0
201.4,0,0,0.3597298,0,0
201.4,-1,0,-0.9970043,0,0
201.4,0,0,0.6495486,0,0
201.4,1,0,0.9836599,0,0
201.4,1,0,0.9093669,0,0
201.5,0,0,0,0,0
201.5,0,0,0.3873376,0,0
201.5,-1,0,-0.9927115,0,0
201.5,0,0,0.6234366,0,0
201.5,1,0,0.9878513,0,0
201.5,1,0,0.9224152,0,0
201.6,0,0,0,0,0
201.6,0,0,0.4160989,0,0
201.6,-1,0,-0.9882964,0,0
201.6,0,0,0.5971538,0,0
201.6,1,0,0.9931701,0,0
201.6,1,0,0.9361772,0,0
201.7,0,0,0,0,0
201.7,0,0,0.4439505,0,0
201.7,-1,0,-0.9818992,0,0
201.7,0,0,0.5697282,0,0
201.7,1,0,0.9964118,0,0
201.7,1,0,0.9479573,0,0
201.8,0,0,0,0,0
201.8,0,0,0.471537,0,0
201.8,-1,0,-0.9742128,0,0
201.8,0,0,0.5415402,0,0
201.8,1,0,0.9985845,0,0
201.8,1,0,0.9586098,0,0
201.9,0,0,0,0,0
201.9,0,0,0.4978992,0,0
201.9,-1,0,-0.9646748,0,0
201.9,0,0,0.5122687,0,0
201.9,1,0,0.9982901,0,0
201.9,1,0,0.9670231,0,0
202,0,0,0,0,0
202,0,0,0.5248044,0,0
202,-1,0,-0.9546092,0,0
202,0,0,0.4826533,0,0
202,1,0,0.9981189,0,0
202,1,0,0.9752737,0,0
202.1,0,0,0,0,0
202.1,0,0,0.5496806,0,0
202.1,-1,0,-0.9417859,0,0
202.1,0,0,0.4514547,0,0
202.1,1,0,0.9940056,0,0
202.1,1,0,0.9799322,0,0
202.2,0,0,0,0,0
202.2,0,0,0.5757656,0,0
202.2,-1,0,-0.9296365,0,0
202.2,0,0,0.4206364,0,0
202.2,1,0,0.9912996,0,0
202.2,1,0,0.9856498,0,0
202.3,0,0,0,0,0
202.3,0,0,0.598942,0,0
202.3,-1,0,-0.9135517,0,0
202.3,0,0,0.3877273,0,0
202.3,1,0,0.9831754,0,0
202.3,1,0,0.9864013,0,0
202.4,0,0,0,0,0
202.4,0,0,0.626598,0,0
202.4,-1,0,-0.9020674,0,0
202.4,0,0,0.3573781,0,0
202.4,1,0,0.9820339,0,0
202.4,1,0,0.9932331,0,0
202.5,0,0,0,0,0
202.5,0,0,0.6486724,0,0
202.5,-1,0,-0.8842444,0,0
202.5,0,0,0.3233551,0,0
202.5,1,0,0.9710652,0,0
202.5,1,0,0.9912376,0,0
202.6,0,0,0,0,0
202.6,0,0,0.6754278,0,0
202.6,-1,0,-0.8710721,0,0
202.6,0,0,0.2920922,0,0
202.6,1,0,0.9674106,0,0
202.6,1,0,0.9955522,0,0
202.7,0,0,0,0,0
202.7,0,0,0.7009352,0,0
202.7,-1,0,-0.8560376,0,0
202.7,0,0,0.2601103,0,0
202.7,1,0,0.9614015,0,0
202.7,1,0,0.9974505,0,0
202.8,0,0,0,0,0
202.8,0,0,0.7251234,0,0
202.8,-1,0,-0.8392783,0,0
202.8,0,0,0.2274527,0,0
202.8,1,0,0.9530048,0,0
202.8,1,0,0.9969032,0,0
202.9,0,0,0,0,0
202.9,0,0,0.7463473,0,0
202.9,-1,0,-0.8207842,0,0
202.9,0,0,0.1924696,0,0
202.9,1,0,0.9385236,0,0
202.9,1,0,0.991776,0,0
203,0,0,0,0,0
203,0,0,0.7680334,0,0
203,-1,0,-0.8020827,0,0
203,0,0,0.158208,0,0
203,1,0,0.9248409,0,0
203,1,0,0.9868412,0,0
203.1,0,0,0,0,0
203.1,0,0,0.7903443,0,0
203.1,-1,0,-0.7833967,0,0
203.1,0,0,0.1247938,0,0
203.1,1,0,0.9122919,0,0
203.1,1,0,0.9822781,0,0
203.2,0,0,0,0,0
203.2,0,0,0.7682512,0,0
203.2,-1,0,-0.8063678,0,0
203.2,0,0,0.1602999,0,0
203.2,1,0,0.9259084,0,0
203.2,1,0,0.988277,0,0
203.3,0,0,0,0,0
203.3,0,0,0.7890204,0,0
203.3,-1,0,-0.7880914,0,0
203.3,0,0,0.124949,0,0
203.3,1,0,0.9087757,0,0
203.3,1,0,0.9811295,0,0
203.4,0,0,0,0,0
203.4,1,0,0.8078898,0,0
203.4,-1,0,-0.7682339,0,0
203.4,0,0,0.08924851,0,0
203.4,1,0,0.8887488,0,0
203.4,1,0,0.9712458,0,0
203.5,0,0,0,0,0
203.5,1,0,0.8247808,0,0
203.5,-1,0,-0.7469476,0,0
203.5,0,0,0.05327596,0,0
203.5,1,0,0.8658357,0,0
203.5,1,0,0.9586278,0,0
203.6,0,0,0,0,0
203.6,1,0,0.8070432,0,0
203.6,-1,0,-0.7736324,0,0
203.6,0,0,0.08927575,0,0
203.6,1,0,0.8836839,0,0
203.6,1,0,0.9695482,0,0
203.7,0,0,0,0,0
203.7,1,0,0.8285193,0,0
203.7,-1,0,-0.7539809,0,0
203.7,0,0,0.05559227,0,0
203.7,1,0,0.8677239,0,0
203.7,1,0,0.9619421,0,0
203.8,0,0,0,0,0
203.8,1,0,0.8064696,0,0
203.8,-1,0,-0.7783732,0,0
203.8,0,0,0.08927948,0,0
203.8,1,0,0.8782343,0,0
203.8,1,0,0.9677708,0,0
203.9,0,0,0,0,0
203.9,1,0,0.8282331,0,0
203.9,-1,0,-0.7588913,0,0
